"INITCAP(REGEXP_REPLACE(GRAPH, '_', ' '))",NODE_DISTANCE,"INITCAP(REGEXP_REPLACE(STARTING_NODE, '_', ' '))","INITCAP(REGEXP_REPLACE(ENDING_NODE, '_', ' '))",ARRAY_AGG(INITCAP(IEVENT)),ROUND(AVG(INTENSITY))
Coca-Cola Company,2,Twitter Inc,New York Times Co,"[
  ""Investigation""
]",3781
Coca-Cola Company,3,Apple Inc,Delta Electronics Inc,"[
  ""Sanctions""
]",222
Coca-Cola Company,3,Hms Holdings Corp,Healthstream Inc,"[
  ""Removal""
]",90
Coca-Cola Company,3,Arbor Realty Trust,Extended Stay America Inc,"[
  ""Bankruptcy"",
  ""Bankruptcy"",
  ""Litigation"",
  ""Bankruptcy""
]",6378
Coca-Cola Company,3,Granite Construction Inc,London Stock Exchange Group Plc,"[
  ""Investigation""
]",344016
Coca-Cola Company,3,Fifth Third Bancorp,Abiomed Inc,"[
  ""Research""
]",1743
Coca-Cola Company,2,Intercontinental Exchange,Contura Energy Inc,"[
  ""Investigation""
]",1
Coca-Cola Company,3,Hms Holdings Corp,Tivity Health,"[
  ""Removal""
]",45
Coca-Cola Company,2,Intercontinental Exchange,Eqt Corp,"[
  ""Dispute""
]",1
Pepsico Inc,3,Rpc Inc,Rpc Group Plc,"[
  ""Litigation"",
  ""Litigation""
]",1424
Coca-Cola Company,3,Sears Holdings Corp,Kmart Holding Corp,"[
  ""Investigation""
]",168
Pepsico Inc,3,Meritage Homes Corp,Beazer Homes Usa Inc,"[
  ""Breach Of Contract""
]",204
Pepsico Inc,2,Nasdaq Inc,Biocon Limited,"[
  ""Clinical Trial""
]",1
Coca-Cola Company,2,Twitter Inc,Capital One Financial Corp,"[
  ""Data Breach""
]",4467
Pepsico Inc,3,Molecular Templates Inc,Bayer Ag Ord,"[
  ""Investigation"",
  ""Investigation""
]",7111
Alphabet Inc,3,Agios Pharmaceuticals Inc,Synlogic Inc,"[
  ""Clinical Trial""
]",96
Alphabet Inc,2,Google,Bank Of America Corp,"[
  ""Fraud""
]",46741
Microsoft Corp,3,Apache Corp,Alcoa Corp,"[
  ""Breach""
]",5376
Alphabet Inc,3,Moodys Corp /De/,Tailored Brands Inc,"[
  ""Bankruptcy""
]",7218
Alphabet Inc,3,Wandt Offshore Inc,Axa Sa,"[
  ""Removal""
]",936
Alphabet Inc,3,Kkr Group Ltd,Sa Sa International Holdings Ltd,"[
  ""Reorganization""
]",2200
Alphabet Inc,2,Google,Dexcom Inc,"[
  ""Investigation""
]",1
Alphabet Inc,3,Aldeyra Therapeutics Inc,Cae Inc,"[
  ""Clinical Trial""
]",144
Alphabet Inc,3,Tyson Foods Inc,Arlington Asset Investment Corp,"[
  ""Litigation"",
  ""Litigation""
]",31302
Microsoft Corp,2,Apple Inc,Tribune Media Co,"[
  ""Investigation""
]",1
Microsoft Corp,3,Thomson Reuters Corp,Cnooc Ltd,"[
  ""Dispute""
]",1781
Microsoft Corp,3,Willis Towers Watson Plc,Alpine Total Dynamic Dividend,"[
  ""Investigation""
]",72
Microsoft Corp,3,Gilead Sciences Inc,Hookipa Pharma Inc,"[
  ""Clinical Trial""
]",346
Coca-Cola Company,3,Medtronic Public Limited Company,Caribou Coffee Company Inc,"[
  ""Cyber Breach""
]",364
Coca-Cola Company,2,Wells Fargo And Company,Westpac Banking Corp,"[
  ""Money Laundering""
]",1
Coca-Cola Company,2,Twitter Inc,Wesfarmers Ltd,"[
  ""Arrest""
]",1
Microsoft Corp,3,Aveo Pharmaceuticals Inc,Biodesix Inc,"[
  ""Clinical Trial""
]",130
Microsoft Corp,3,Icahn Enterprises Lp,Lear Corp,"[
  ""Bankruptcy""
]",5100
Pepsico Inc,3,Occidental Petroleum Corp,Sanchez Energy Corp,"[
  ""Reorganization""
]",96
Pepsico Inc,3,Virtu Financial Inc,Investment Technology Group,"[
  ""Litigation""
]",374
Pepsico Inc,3,Levi Strauss And Co,Jc Penney,"[
  ""Bankruptcy""
]",4865
Pepsico Inc,3,Sysco Corp,Compass Group Plc,"[
  ""Disruption""
]",440
Pepsico Inc,3,Intrexon Corp,Celyad Sa Ads,"[
  ""Clinical Trial""
]",372
Microsoft Corp,3,American Airlines Group Inc,Delta Air Lines Inc,"[
  ""Litigation"",
  ""Litigation""
]",713545
Microsoft Corp,3,White Mountains Insurance Group,Tribune Media Co,"[
  ""Bankruptcy""
]",3859
Microsoft Corp,2,Linkedin Corp,Equifax Inc,"[
  ""Breach""
]",1
Microsoft Corp,3,Thomson Reuters Corp,Zalando Se,"[
  ""Investigation""
]",1216
Coca-Cola Company,2,Citigroup Inc,Tribune Media Co,"[
  ""Bankruptcy""
]",1092
Jp Morgan Chase And Co,3,Abraxas Petroleum Corp,Pdc Energy Inc,"[
  ""Bankruptcy""
]",1650
Jp Morgan Chase And Co,3,Beigene Ltd,Amli Residential Properties Trust,"[
  ""Clinical Trial""
]",21
Microsoft Corp,3,Eqt Corp,Eqt Midstream Partners Lp,"[
  ""Litigation""
]",1476
Alphabet Inc,3,Nasdaq Inc,Fate Therapeutics Inc,"[
  ""Clinical Trial""
]",260
Jp Morgan Chase And Co,3,Jernigan Capital Inc,Principia Biopharma Inc,"[
  ""Breach""
]",33780
Goldman Sachs Group Inc,3,Abbvie Inc,Biogen Inc,"[
  ""Clinical Trial""
]",924
Goldman Sachs Group Inc,3,Playags Inc,Brookdale Senior Living Inc,"[
  ""Litigation""
]",73246
Goldman Sachs Group Inc,2,Intercontinental Exchange,Curo Group Holdings Corp,"[
  ""Investigation""
]",1
Goldman Sachs Group Inc,3,Credit Suisse Ag,Nymox Pharmaceutical Corp,"[
  ""Research""
]",1328
Goldman Sachs Group Inc,3,Advanced Micro Devices Inc,Aib Group Plc,"[
  ""Interruption""
]",4290
Microsoft Corp,3,J2 Global Inc,Ringcentral Inc,"[
  ""Litigation""
]",912
Pepsico Inc,3,Intercontinental Exchange,Nacco Industries Inc,"[
  ""Investigation""
]",652
Microsoft Corp,3,Spring Bank Pharmaceuticals Inc,Pfenex Inc,"[
  ""Breach""
]",66696
Microsoft Corp,3,Hms Holdings Corp,Cotiviti Holdings,"[
  ""Fraud""
]",12
Alphabet Inc,3,Biolife Solutions Inc,Adaptimmune Therapeutics Plc,"[
  ""Clinical Trial""
]",48
Microsoft Corp,3,Micron Technology Inc,Rambus Inc,"[
  ""Litigation""
]",1270
Jp Morgan Chase And Co,3,Walmart Inc,Dean Foods Co,"[
  ""Bankruptcy""
]",6960
Jp Morgan Chase And Co,3,Avon Products Inc,Smart Technologies Inc,"[
  ""Investigation""
]",308
Jp Morgan Chase And Co,3,22nd Century Group Inc,Vector Ltd Ord,"[
  ""Clinical Trial"",
  ""Clinical Trial"",
  ""Clinical Trial""
]",16
Morgan Stanley International Holdings Inc,3,Invesco Ltd,Ironwood Pharmaceuticals Inc,"[
  ""Research""
]",2298
Goldman Sachs Group Inc,3,Regeneron Pharmaceuticals Inc,Pilgrims Pride Corp,"[
  ""Dispute""
]",7448
Jp Morgan Chase And Co,3,Nemaura Medical Inc,Dynavax Technologies Corp,"[
  ""Clinical Trial""
]",2468
Goldman Sachs Group Inc,3,Willis Towers Watson Plc,Alpine Total Dynamic Dividend,"[
  ""Investigation""
]",18
Goldman Sachs Group Inc,3,Moodys Corp /De/,First Hawaiian Inc,"[
  ""Disruption""
]",718
Goldman Sachs Group Inc,3,Ribbon Communications Inc,Sonus Networks Inc,"[
  ""Litigation""
]",260
Jp Morgan Chase And Co,3,Lannett Co Inc,Easterly Government Properties,"[
  ""Breach""
]",19812
Jp Morgan Chase And Co,3,Hc2 Holdings Inc,Dbm Global Inc,"[
  ""Litigation""
]",280
Goldman Sachs Group Inc,3,Xpo Logistics,C H Robinson Worldwide Inc,"[
  ""Breach Of Contract""
]",126212
Goldman Sachs Group Inc,3,Unitedhealth Group Inc,Hms Holdings Corp,"[
  ""Fraud""
]",4308
Goldman Sachs Group Inc,2,Intercontinental Exchange,Golden Star Resources Ltd,"[
  ""Investigation""
]",1
Goldman Sachs Group Inc,3,Occidental Petroleum Corp,Ypf Sociedad Anonima,"[
  ""Bankruptcy""
]",12740
Morgan Stanley International Holdings Inc,3,Agilent Technologies Inc,Intertek Group Plc,"[
  ""Investigation""
]",100
Alphabet Inc,3,Comtech Telecommunications Corp /De/,Gilat Satellite Networks Ltd,"[
  ""Litigation""
]",33
Pepsico Inc,2,Nasdaq Inc,Cns Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",1
Coca-Cola Company,2,Intercontinental Exchange,Intralinks Holdings Inc,"[
  ""Breach"",
  ""Breach""
]",192
Alphabet Inc,2,Google,Alcon Inc,"[
  ""Litigation""
]",1
Goldman Sachs Group Inc,3,Hc2 Holdings Inc,Universal Travel Group,"[
  ""Litigation""
]",237
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Twitter Inc,"[
  ""Hack""
]",81
Goldman Sachs Group Inc,3,Sangamo Therapeutics Inc,Sanofi Sa,"[
  ""Clinical Trial""
]",585536
Coca-Cola Company,3,Nasdaq Inc,Atlantic Acquisition Corp,"[
  ""Investigation""
]",1280
Coca-Cola Company,2,Intercontinental Exchange,Gci Liberty Inc,"[
  ""Breach""
]",1
Coca-Cola Company,3,Mercadolibre Inc,Pagnie Financiere Ri,"[
  ""Litigation""
]",112
Coca-Cola Company,3,Post Holdings Inc,Monster Beverage Corp,"[
  ""Removal""
]",128464
Coca-Cola Company,3,Occidental Petroleum Corp,California Resources Corp,"[
  ""Litigation""
]",17408
Coca-Cola Company,1,Coca-Cola Company,Twitter Inc,"[
  ""Breach""
]",480
Coca-Cola Company,3,Nasdaq Inc,Azurrx Biopharma Inc,"[
  ""Research""
]",2252
Coca-Cola Company,3,Mgic Investment Corp,Countrywide Plc,"[
  ""Dispute""
]",2359458
Coca-Cola Company,2,Barclays Plc,Ucb Sa,"[
  ""Research""
]",1
Coca-Cola Company,3,Pedevco Corp,Blue Dolphin Energy Co,"[
  ""Bankruptcy""
]",28
Coca-Cola Company,3,Fluidigm Corp,Applied Biosystems Inc,"[
  ""Litigation"",
  ""Litigation""
]",1073
Coca-Cola Company,3,London Stock Exchange Group Plc,Nmc Health Plc,"[
  ""Fraud""
]",3726
Pepsico Inc,3,Fibrogen Inc,China Medical System Holdings Ltd,"[
  ""Clinical Trial""
]",225
Pepsico Inc,2,Jp Morgan Chase And Co,Uber Technologies Inc,"[
  ""Fraud""
]",3585
Pepsico Inc,3,Autoliv Inc,Takata Corp,"[
  ""Bankruptcy Protection"",
  ""Bankruptcy Protection""
]",196
Pepsico Inc,3,Nasdaq Inc,Cue Biopharma Inc,"[
  ""Clinical Trial""
]",168
Pepsico Inc,3,Bridge Bancorp Inc,58com Inc,"[
  ""Breach""
]",6355
Pepsico Inc,3,Sony Corp,Apple Inc,"[
  ""Investigation""
]",1496053
Alphabet Inc,3,Enanta Pharmaceuticals Inc,Tobira Therapeutics Inc,"[
  ""Clinical Trial""
]",630
Alphabet Inc,2,Nasdaq Inc,Domo Inc,"[
  ""Breach""
]",1
Alphabet Inc,3,Imax Corp,Cineworld Group Plc,"[
  ""Reorganization""
]",736
Pepsico Inc,3,Ebay Inc,Tiffany And Co,"[
  ""Litigation""
]",720
Alphabet Inc,3,Moodys Corp /De/,First Hawaiian Inc,"[
  ""Disruption""
]",458
Alphabet Inc,2,Google,Navient Cp,"[
  ""Litigation""
]",1
Alphabet Inc,2,Intercontinental Exchange,Dxc Technology Company,"[
  ""Ransomware Attack""
]",1
Alphabet Inc,2,Nasdaq Inc,Exela Technologies Inc,"[
  ""Investigation""
]",1
Microsoft Corp,3,Credit Suisse Ag,Vtb Bank,"[
  ""Fraud""
]",2424
Microsoft Corp,3,Wpx Energy Inc,Avalon Pharmaceuticals Inc,"[
  ""Removal""
]",12
Coca-Cola Company,3,Lockheed Martin Corp,Manulife Financial Corp,"[
  ""Reorganization""
]",26500
Alphabet Inc,3,La Jolla Pharmaceutical Co,Line Corp,"[
  ""Clinical Trial""
]",1568
Alphabet Inc,2,Nasdaq Inc,Mattel Inc,"[
  ""Investigation""
]",1
Pepsico Inc,2,Nasdaq Inc,Niu Technologies,"[
  ""Arrest""
]",1
Coca-Cola Company,3,Global Blood Therapeutics Inc,Bellicum Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",632
Coca-Cola Company,2,Intercontinental Exchange,Nasdaq Inc,"[
  ""Disruption""
]",8935
Coca-Cola Company,3,Garmin Ltd,Verizon Communications Inc,"[
  ""Ransomware Attack""
]",2034695
Coca-Cola Company,2,Intercontinental Exchange,Kirby Corp,"[
  ""Investigation""
]",1
Microsoft Corp,3,Renault Sa,Volkswagen Ag,"[
  ""Investigation""
]",3960
Pepsico Inc,3,Nasdaq Inc,Sandt Bancorp Inc,"[
  ""Investigation""
]",2730
Microsoft Corp,3,Livexlive Media Inc,Colgate Palmolive Co,"[
  ""Breach""
]",5150
Pepsico Inc,3,Jeld-Wen Inc,Cummins Inc,"[
  ""Breach Of Contract""
]",39396
Microsoft Corp,3,Bruker Corp,Intertek Group Plc,"[
  ""Investigation""
]",150
Microsoft Corp,3,Altimmune Inc,Siga Technologies Inc,"[
  ""Litigation""
]",555
Alphabet Inc,2,Google,Anthem Inc,"[
  ""Data Breach""
]",1
Alphabet Inc,2,Google,Advanced Micro Devices Inc,"[
  ""Hacking""
]",1
Microsoft Corp,3,Athersys Inc / New,Mesoblast Ltd,"[
  ""Clinical Trial""
]",280
Jp Morgan Chase And Co,3,Ra Pharmaceuticals Inc,Line Corp,"[
  ""Clinical Trial""
]",792
Goldman Sachs Group Inc,2,Intercontinental Exchange,Luckin Coffee Inc,"[
  ""Fraud""
]",1
Morgan Stanley International Holdings Inc,3,Mandt Bank Corp,Banco Santander Sa,"[
  ""Litigation""
]",1680
Goldman Sachs Group Inc,3,Moodys Corp /De/,Oao Gazprom,"[
  ""Sanctions""
]",20560
Goldman Sachs Group Inc,2,Navistar International Corp,Icc Holdings Inc,"[
  ""Breach""
]",70
Morgan Stanley International Holdings Inc,3,Ligand Pharmaceuticals Inc,Verona Pharma Plc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",60
Alphabet Inc,2,Nasdaq Inc,Essa Pharma,"[
  ""Clinical Trial""
]",1
Microsoft Corp,3,Acceleron Pharma Inc,Keros Therapeutics Inc,"[
  ""Clinical Trial""
]",6
Microsoft Corp,3,Mcdermott Inc,Tidewater Inc,"[
  ""Bankruptcy""
]",4230
Alphabet Inc,3,Jc Penney,Mcdermott Inc,"[
  ""Bankruptcy""
]",69460
Jp Morgan Chase And Co,3,Thomson Reuters Corp,China Communications Construction Co Ltd,"[
  ""Sanctions""
]",7872
Jp Morgan Chase And Co,3,Core-Mark Holding Company Inc,Msa Safety Inc,"[
  ""Litigation""
]",461070
Jp Morgan Chase And Co,2,Intercontinental Exchange,Celadon Group Inc,"[
  ""Bankruptcy Protection""
]",1
Microsoft Corp,2,Intercontinental Exchange,Norwegian Cruise Line Holdings Ltd,"[
  ""Breach""
]",1
Jp Morgan Chase And Co,3,Altria Group,Pearson Plc,"[
  ""Litigation""
]",140
Jp Morgan Chase And Co,3,Interdigital Capital Inc,Qualcomm Inc/De,"[
  ""Investigation""
]",15345
Alphabet Inc,3,Matson Inc,Chase Corp,"[
  ""Reorganization""
]",5524
Alphabet Inc,3,Axon Enterprise Inc,Digital Ally Inc,"[
  ""Litigation""
]",1404
Jp Morgan Chase And Co,3,Renault Sa,Volkswagen Ag,"[
  ""Investigation""
]",4840
Jp Morgan Chase And Co,3,Moodys Corp /De/,Diamond Resorts International Inc,"[
  ""Disruption""
]",262
Jp Morgan Chase And Co,2,Intercontinental Exchange,Pfenex Inc,"[
  ""Breach""
]",2365
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Volkswagen Ag,"[
  ""Investigation""
]",1
Goldman Sachs Group Inc,3,Era Group Inc,Prestige Consumer Healthcare Inc,"[
  ""Removal""
]",48
Morgan Stanley International Holdings Inc,3,American Airlines Group Inc,Delta Air Lines Inc,"[
  ""Litigation""
]",89550
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Snap Inc,"[
  ""Protest""
]",1
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Varian Medical Systems Inc,"[
  ""Investigation""
]",1
Goldman Sachs Group Inc,3,Nasdaq Inc,Cue Biopharma Inc,"[
  ""Clinical Trial""
]",172
Jp Morgan Chase And Co,3,Aci Worldwide Inc,Nice Ltd,"[
  ""Fraud""
]",450
Alphabet Inc,3,Clearside Biomedical Inc,Regenxbio Inc,"[
  ""Clinical Trial""
]",13048
Alphabet Inc,3,Credit Suisse Ag,Nymox Pharmaceutical Corp,"[
  ""Research""
]",628
Jp Morgan Chase And Co,3,Edwards Lifesciences Corp,Voya Infrastructure Industrial,"[
  ""Clinical Trial""
]",1304
Goldman Sachs Group Inc,3,Apellis Pharmaceuticals Inc,Chugai Pharmaceutical,"[
  ""Clinical Trial""
]",60
Jp Morgan Chase And Co,3,Sempra Energy,Oao Gazprom,"[
  ""Breach Of Contract""
]",21600
Jp Morgan Chase And Co,3,Fiat Chrysler Automobiles Nv,Suzuki Motor Corp,"[
  ""Investigation""
]",212
Goldman Sachs Group Inc,2,Intercontinental Exchange,Dean Foods Co,"[
  ""Research""
]",145
Goldman Sachs Group Inc,2,Intercontinental Exchange,Eastman Chemical Company,"[
  ""Investigation""
]",1
Morgan Stanley International Holdings Inc,3,Apollo Global Management Llc,Presidio Inc,"[
  ""Breach""
]",39036
Alphabet Inc,3,Walgreens Boots Alliance,Rite Aid Corp,"[
  ""Litigation""
]",275010
Alphabet Inc,3,Apple Inc,Larsen And Toubro Ltd,"[
  ""Investigation""
]",392
Morgan Stanley International Holdings Inc,3,Sony Corp,Easyjet Plc,"[
  ""Breach""
]",1804
Morgan Stanley International Holdings Inc,3,Thomson Reuters Corp,Steinhoff International Holdings Nv,"[
  ""Accounting Fraud""
]",1512
Goldman Sachs Group Inc,3,Altaba Inc,Endurance International Group Holdings Inc,"[
  ""Investigation""
]",536
Alphabet Inc,3,Amarin Corp Plc,Acasti Pharma,"[
  ""Clinical Trial""
]",48
Coca-Cola Company,3,Thomson Reuters Corp,Noble Corp Plc,"[
  ""Bankruptcy""
]",35032
Coca-Cola Company,3,Moodys Corp /De/,First Hawaiian Inc,"[
  ""Disruption""
]",660
Coca-Cola Company,3,Sherwin-Williams Company,Nl Industries Inc,"[
  ""Litigation""
]",102
Coca-Cola Company,3,Credit Suisse Ag,Nymox Pharmaceutical Corp,"[
  ""Research""
]",1532
Coca-Cola Company,2,Intercontinental Exchange,Eastman Chemical Company,"[
  ""Investigation""
]",1
Pepsico Inc,3,Abbvie Inc,Biogen Inc,"[
  ""Clinical Trial""
]",132
Pepsico Inc,2,Citigroup Inc,Equifax Inc,"[
  ""Data Breach""
]",37
Pepsico Inc,2,Alliance Data Systems Corp,Wyndham Hotels And Resorts Inc,"[
  ""Bankruptcy""
]",54
Pepsico Inc,3,Graham Corp,Graham Holdings Company,"[
  ""Fraud""
]",7344
Microsoft Corp,2,Nasdaq Inc,Iqiyi Inc,"[
  ""Investigation""
]",1
Alphabet Inc,3,Xencor Inc,Vir Biotechnology Inc,"[
  ""Clinical Trial""
]",1600
Alphabet Inc,2,Intercontinental Exchange,K12 Inc,"[
  ""Protest""
]",1
Microsoft Corp,3,Paypal Holdings,Western Union Company,"[
  ""Hacking""
]",25529
Pepsico Inc,3,Lyft Inc,Hertz Global Holdings Inc,"[
  ""Bankruptcy""
]",142662
Alphabet Inc,3,Interdigital Capital Inc,Zte Corp,"[
  ""Investigation""
]",23094
Alphabet Inc,3,Thomson Reuters Corp,China Communications Construction Co Ltd,"[
  ""Sanctions""
]",5952
Alphabet Inc,3,Moodys Corp /De/,Foresight Energy Lp,"[
  ""Bankruptcy""
]",192
Pepsico Inc,3,Wex Inc,Exxon Mobil Corp,"[
  ""Litigation""
]",498852
Pepsico Inc,3,Eqt Corp,Voya Risk Managed Natural Resources Fund,"[
  ""Litigation""
]",5834
Microsoft Corp,3,Centurylink Inc,Oi Sa,"[
  ""Bankruptcy Protection""
]",750
Alphabet Inc,3,Jernigan Capital Inc,Yintech Investment Holdings Ltd,"[
  ""Breach""
]",8349
Microsoft Corp,3,Scientific Games Corp,International Game Technology,"[
  ""Breach""
]",1026
Pepsico Inc,3,Cit Group Inc,Landauer Inc,"[
  ""Litigation""
]",3125
Pepsico Inc,3,Amarin Corp Plc,Acasti Pharma,"[
  ""Clinical Trial""
]",48
Microsoft Corp,3,Anaptysbio Inc,Gossamer Bio Inc,"[
  ""Clinical Trial""
]",1365
Pepsico Inc,3,Rubicon Project Inc,Quotient Technology Inc,"[
  ""Removal""
]",1256
Microsoft Corp,3,Nasdaq Inc,Azurrx Biopharma Inc,"[
  ""Research""
]",2352
Microsoft Corp,3,Nasdaq Inc,Information Services Group Inc,"[
  ""Breach""
]",1260
Alphabet Inc,3,Reata Pharmaceuticals Inc,Glenmark Pharmaceuticals Limited,"[
  ""Clinical Trial""
]",2212
Microsoft Corp,3,Ramaco Resources Inc,Chubb Limited,"[
  ""Removal""
]",6472
Microsoft Corp,3,Transocean Ltd,Eni Spa,"[
  ""Dispute""
]",19136
Alphabet Inc,3,Graham Corp,Toshiba Corp,"[
  ""Bankruptcy"",
  ""Bankruptcy""
]",13603
Alphabet Inc,3,Slm Corp,Navient Cp,"[
  ""Investigation"",
  ""Investigation""
]",13343
Microsoft Corp,3,Mbia Inc,Credit Suisse Ag,"[
  ""Litigation""
]",23922
Jp Morgan Chase And Co,3,Kkr Group Ltd,Sa Sa International Holdings Ltd,"[
  ""Reorganization""
]",3525
Jp Morgan Chase And Co,2,Moodys Corp /De/,Las Vegas Sands Corp,"[
  ""Downgrade""
]",1
Morgan Stanley International Holdings Inc,3,Clear Channel Outdoor Holdings,Clear Media Ltd,"[
  ""Investigation""
]",1640
Goldman Sachs Group Inc,3,Geron Co Ltd,Karyopharm Therapeutics Inc,"[
  ""Clinical Trial""
]",11396
Goldman Sachs Group Inc,2,Intercontinental Exchange,Gnc Holdings Inc,"[
  ""Fraud""
]",1
Goldman Sachs Group Inc,3,Nasdaq Inc,Bovie Medical Corp,"[
  ""Breach""
]",1290
Jp Morgan Chase And Co,2,Intercontinental Exchange,Varian Medical Systems Inc,"[
  ""Investigation""
]",1
Alphabet Inc,2,Nasdaq Inc,Wd 40 Co,"[
  ""Disruption""
]",1
Microsoft Corp,2,Intercontinental Exchange,Zendesk Inc,"[
  ""Data Breach""
]",1
Alphabet Inc,3,Cleanspark Inc,Voyager Digital (Canada) Ltd,"[
  ""Bankruptcy"",
  ""Bankruptcy""
]",96
Jp Morgan Chase And Co,3,Kkr Group Ltd,Dollar General Corp,"[
  ""Bankruptcy""
]",665418
Goldman Sachs Group Inc,3,Avon Products Inc,Qvc Inc,"[
  ""Litigation""
]",5085
Morgan Stanley International Holdings Inc,2,E Trade Financial Corp,Dollar General Corp,"[
  ""Fraud""
]",504
Microsoft Corp,3,Rubicon Project Inc,Quotient Technology Inc,"[
  ""Removal""
]",16
Microsoft Corp,3,Fortress Biotech Inc,Tg Therapeutics Inc,"[
  ""Clinical Trial""
]",6906
Goldman Sachs Group Inc,3,On Semiconductor Corp,Power Integrations Inc,"[
  ""Litigation""
]",126
Jp Morgan Chase And Co,3,Linkedin Corp,Dropbox Inc,"[
  ""Data Breach""
]",10088
Jp Morgan Chase And Co,2,Fair Isaac Corp,Aci Worldwide Inc,"[
  ""Fraud"",
  ""Fraud"",
  ""Fraud""
]",48
Jp Morgan Chase And Co,3,Walmart Inc,Tribune Media Co,"[
  ""Investigation""
]",4305
Morgan Stanley International Holdings Inc,3,Dime Community Bancshares Inc,Bridge Bancorp Inc,"[
  ""Litigation""
]",3949
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Sandp Global Inc,"[
  ""Litigation"",
  ""Litigation"",
  ""Litigation"",
  ""Litigation""
]",2304
Goldman Sachs Group Inc,3,Novo Nordisk A/S,Ritter Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",5643
Goldman Sachs Group Inc,3,Airbus,Meggitt Plc,"[
  ""Shutdown""
]",1444
Morgan Stanley International Holdings Inc,3,Thomson Reuters Corp,Zalando Se,"[
  ""Investigation""
]",1152
Goldman Sachs Group Inc,2,Intercontinental Exchange,Sunworks Inc,"[
  ""Breach""
]",1
Goldman Sachs Group Inc,3,Valvoline Inc,Ashland Global Holdings Inc,"[
  ""Breach""
]",137888
Jp Morgan Chase And Co,2,Intercontinental Exchange,Contura Energy Inc,"[
  ""Breach""
]",1
Jp Morgan Chase And Co,2,Toro Co,Briggs And Stratton Corp,"[
  ""Disruption""
]",37
Goldman Sachs Group Inc,3,United States Steel Corp,Physicians Realty Trust,"[
  ""Investigation""
]",3480
Goldman Sachs Group Inc,2,Intercontinental Exchange,African Barrick Gold Plc,"[
  ""Dispute""
]",1
Goldman Sachs Group Inc,3,Tivo Corp,Supermedia Inc,"[
  ""Bankruptcy"",
  ""Bankruptcy""
]",12
Morgan Stanley International Holdings Inc,3,Thomson Reuters Corp,Centrais Electricas Brazil,"[
  ""Fraud""
]",21600
Goldman Sachs Group Inc,3,Bruker Corp,Intertek Group Plc,"[
  ""Investigation""
]",440
Morgan Stanley International Holdings Inc,2,Moodys Corp /De/,Pgande Corp,"[
  ""Bankruptcy""
]",1
Goldman Sachs Group Inc,3,Mbia Inc,Allstate Corp,"[
  ""Bankruptcy Protection""
]",5286918
Goldman Sachs Group Inc,3,Agios Pharmaceuticals Inc,Mynd Analytics Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",870
Goldman Sachs Group Inc,3,Bluebird Bio,Glycomimetics Inc,"[
  ""Investigation"",
  ""Investigation""
]",332
Morgan Stanley International Holdings Inc,2,Moodys Corp /De/,Renault Sa,"[
  ""Downgrade""
]",1
Goldman Sachs Group Inc,3,Intelsat Sa,Viasat Inc,"[
  ""Dispute""
]",1772
Jp Morgan Chase And Co,3,Spectrum Pharmaceuticals Inc,Hanmi Financial Cp,"[
  ""Clinical Trial""
]",128
Jp Morgan Chase And Co,3,Apple Inc,Gt Advanced Technologies Inc,"[
  ""Bankruptcy""
]",812
Morgan Stanley International Holdings Inc,3,Enterprise Products Partners L P,Amec Foster Wheeler Plc,"[
  ""Breach Of Contract""
]",772
Goldman Sachs Group Inc,2,Intercontinental Exchange,Mylan Nv,"[
  ""Breach Of Contract""
]",1
Morgan Stanley International Holdings Inc,3,Dxc Technology Company,Qualys Inc,"[
  ""Breach""
]",2452
Jp Morgan Chase And Co,2,Assured Guaranty Ltd,Deutsche Bank,"[
  ""Litigation""
]",91416
Alphabet Inc,3,Adobe Inc,T-Mobile Us,"[
  ""Breach""
]",5157864
Coca-Cola Company,2,Citigroup Inc,Equifax Inc,"[
  ""Data Breach""
]",1
Coca-Cola Company,3,Ebay Inc,Live Nation Entertainment,"[
  ""Investigation""
]",4888
Coca-Cola Company,3,Sangamo Therapeutics Inc,Artio Global Investors Inc,"[
  ""Clinical Trial""
]",12121
Coca-Cola Company,3,Comcast Corp A,Sprint Corp,"[
  ""Disruption""
]",1156908
Coca-Cola Company,3,National General Holdings Corp,Majesco Ltd,"[
  ""Breach""
]",164868
Coca-Cola Company,3,Atlas,Volkswagen Ag,"[
  ""Removal""
]",4466264
Coca-Cola Company,2,Intercontinental Exchange,Hamilton Beach Brands Holding Co,"[
  ""Investigation""
]",1
Coca-Cola Company,3,Central European Media Enterprises Ltd,Anixter International Inc,"[
  ""Breach""
]",9660
Pepsico Inc,3,Zymeworks Inc,Beigene Ltd,"[
  ""Clinical Trial""
]",34790
Pepsico Inc,3,Zogenix Inc,Gw Pharmaceuticals,"[
  ""Clinical Trial""
]",9888
